"","Indicator","Year","value","Income Quintile"
"1","Medicines","2005",0.867586872586873,"Poorest"
"2","MedicalProducts","2005",0.00785714285714286,"Poorest"
"3","OutpatientCare","2005",0.0264864864864865,"Poorest"
"4","Dental","2005",0.0174710424710425,"Poorest"
"5","DiagnosticTests","2005",0.010019305019305,"Poorest"
"6","InpatientCare","2005",0.0705791505791506,"Poorest"
"7","Medicines","2005",0.799503100571636,"2nd"
"8","MedicalProducts","2005",0.0364796897408447,"2nd"
"9","OutpatientCare","2005",0.0510432868079261,"2nd"
"10","Dental","2005",0.0434282020724342,"2nd"
"11","DiagnosticTests","2005",0.00666572403902478,"2nd"
"12","InpatientCare","2005",0.0628799967681338,"2nd"
"13","Medicines","2005",0.793201800293071,"3rd"
"14","MedicalProducts","2005",0.0499528993091899,"3rd"
"15","OutpatientCare","2005",0.0334153234247436,"3rd"
"16","Dental","2005",0.0216139836717605,"3rd"
"17","DiagnosticTests","2005",0.0358488591166004,"3rd"
"18","InpatientCare","2005",0.0659671341846347,"3rd"
"19","Medicines","2005",0.81018684229365,"4th"
"20","MedicalProducts","2005",0.0712291502612929,"4th"
"21","OutpatientCare","2005",0.0393013100436681,"4th"
"22","Dental","2005",0.0195432743932994,"4th"
"23","DiagnosticTests","2005",0.0282053117617582,"4th"
"24","InpatientCare","2005",0.0315341112463312,"4th"
"25","Medicines","2005",0.66316014310888,"Richest"
"26","MedicalProducts","2005",0.0795108666631067,"Richest"
"27","OutpatientCare","2005",0.0777487050782293,"Richest"
"28","Dental","2005",0.0743311795802852,"Richest"
"29","DiagnosticTests","2005",0.0247770598600951,"Richest"
"30","InpatientCare","2005",0.0804720457094035,"Richest"
"31","Medicines","2005",0.805041141212108,"Total"
"32","MedicalProducts","2005",0.0408243280984811,"Total"
"33","OutpatientCare","2005",0.0415171761875094,"Total"
"34","Dental","2005",0.0312533568221368,"Total"
"35","DiagnosticTests","2005",0.0186424474187381,"Total"
"36","InpatientCare","2005",0.0627215502610265,"Total"
"37","Medicines","2010",0.910919852608791,"Poorest"
"38","MedicalProducts","2010",0.017425560037676,"Poorest"
"39","OutpatientCare","2010",0.0150638886672619,"Poorest"
"40","Dental","2010",0.0219907389431719,"Poorest"
"41","DiagnosticTests","2010",0.00775396801006902,"Poorest"
"42","InpatientCare","2010",0.0268459917330299,"Poorest"
"43","Medicines","2010",0.89827538032735,"2nd"
"44","MedicalProducts","2010",0.0171766668099888,"2nd"
"45","OutpatientCare","2010",0.0223108779642687,"2nd"
"46","Dental","2010",0.0153709632297273,"2nd"
"47","DiagnosticTests","2010",0.0293719262433545,"2nd"
"48","InpatientCare","2010",0.0174941854253103,"2nd"
"49","Medicines","2010",0.842527218743221,"3rd"
"50","MedicalProducts","2010",0.0472738474776934,"3rd"
"51","OutpatientCare","2010",0.02950943229096,"3rd"
"52","Dental","2010",0.0444523230956634,"3rd"
"53","DiagnosticTests","2010",0.0126171700709018,"3rd"
"54","InpatientCare","2010",0.0236200083215605,"3rd"
"55","Medicines","2010",0.69463225619022,"4th"
"56","MedicalProducts","2010",0.0200525149057965,"4th"
"57","OutpatientCare","2010",0.0213612943337629,"4th"
"58","Dental","2010",0.149096240776215,"4th"
